ID,ACTIVITY_UUID,GROUP_UUID,DESCRIPTION,FOR_COORDINATION,SECTION_UUID,PHASE_NAME,ORG_UNIT_CODE,ORG_UNIT_TYPE,STATUS,CONTRIBUTION_TYPE
3779fc51-c122-4157-8e91-735c1a20b560,7c1bb996-b17e-467c-9a59-09da59e084ef,9da48bdd-d914-47f1-89b3-d14d1104e1b1,Transport and Handling,0,,Installation,EN-HE,GROUP,A,Other
ce6a14ce-17bc-47d6-b8a1-5f392be40098,7c1bb996-b17e-467c-9a59-09da59e084ef,4cc8b59f-4e50-4145-9cad-dacd4e4c1c29,Commissioning Coordination,0,,Commissioning,BE-OP,GROUP,A,Other
d6b017b6-169e-46c4-88ae-e05ec09b9feb,7c1bb996-b17e-467c-9a59-09da59e084ef,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,Commissioning Coordination,0,,Commissioning,EN-EL,GROUP,A,Other
fd22f478-deeb-4939-819d-9224eaf82282,7c1bb996-b17e-467c-9a59-09da59e084ef,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,HV/BT connexions to sub-station,0,,Installation,EN-EL,GROUP,A,Other
4e7eac40-efc8-46d0-958b-6f2bc382739e,7c1bb996-b17e-467c-9a59-09da59e084ef,7f0d63a1-c1c1-440e-8d54-be9ab65432b6,Worksite safety,0,,Preparation,HSE-OHS,GROUP,A,Other
00df89ed-1ec5-4cbd-bc12-13c34b318ff6,9ccf630e-715a-42dd-a973-87d6bf0cb811,55b6690d-1b7f-42d6-8201-9fccb351667a,,1,,,SY-ABT,GROUP,A,Other
70a5ef18-45aa-4826-bd9f-2237c062c024,9ccf630e-715a-42dd-a973-87d6bf0cb811,68e4b8f0-0990-4afe-9535-3b0e31a4e740,installation in PS sector 30.,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Installation,TE-VSC-BVO,SECT,A,Other
cb296a31-a98b-4c59-a44b-a6e7a5e2b42b,9ccf630e-715a-42dd-a973-87d6bf0cb811,68e4b8f0-0990-4afe-9535-3b0e31a4e740,vacuum acceptance after rebuilt,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Preparation,TE-VSC-BVO,SECT,A,Other
33f0377b-a332-4169-8bb4-a81419a53f5b,9ccf630e-715a-42dd-a973-87d6bf0cb811,8365620a-eb50-4bb0-85bf-90c5d6f034a2,verification of alignment after installation,0,37e884c0-072c-41fc-97fc-0007becec31e,Installation,BE-GM-ASG,SECT,A,Other
301380bd-5fa0-4526-b439-d43ea9d933ab,9ccf630e-715a-42dd-a973-87d6bf0cb811,55b6690d-1b7f-42d6-8201-9fccb351667a,conditioning + ISTs,0,7765c648-c691-4c25-81a4-4bde83886dea,Commissioning,SY-ABT-SE,SECT,A,Other
9257ad9a-dcfe-47f3-92e2-54764fd1a5a3,9ccf630e-715a-42dd-a973-87d6bf0cb811,9da48bdd-d914-47f1-89b3-d14d1104e1b1,transport from ISR to PS ring. Handling inside PS tunnel for installation.,0,2f71f349-ecf9-46cf-9d73-4f94f4846af6,Installation,EN-HE-HH,SECT,A,Other
4be57e6e-c531-4b5a-89f7-a6c32e7ac9ee,7d36884e-8179-48d6-8103-312c848a98a5,55b6690d-1b7f-42d6-8201-9fccb351667a,,1,,,SY-ABT,GROUP,A,Other
4da801e7-07e8-4094-9fbc-7e14ad91e45d,7d36884e-8179-48d6-8103-312c848a98a5,55b6690d-1b7f-42d6-8201-9fccb351667a,conditioning + ISTs,0,7765c648-c691-4c25-81a4-4bde83886dea,Commissioning,SY-ABT-SE,SECT,A,Other
92efce64-d89a-46bb-86b6-be8cdd9ca21d,7d36884e-8179-48d6-8103-312c848a98a5,9da48bdd-d914-47f1-89b3-d14d1104e1b1,transport from ISR to PS ring. Handling inside PS tunnel for installation.,0,2f71f349-ecf9-46cf-9d73-4f94f4846af6,Installation,EN-HE-HH,SECT,A,Other
818aae7b-f47f-4773-a617-1416b2a695a6,7d36884e-8179-48d6-8103-312c848a98a5,68e4b8f0-0990-4afe-9535-3b0e31a4e740,vacuum acceptance after rebuilt,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Preparation,TE-VSC-BVO,SECT,A,Other
87accf16-39db-4a53-963a-3deaecf2ea46,7d36884e-8179-48d6-8103-312c848a98a5,68e4b8f0-0990-4afe-9535-3b0e31a4e740,installation in PS sector 30.,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Installation,TE-VSC-BVO,SECT,A,Other
11da03f4-862d-4f92-8f63-a81210d79cc1,7d36884e-8179-48d6-8103-312c848a98a5,8365620a-eb50-4bb0-85bf-90c5d6f034a2,verification of alignment after installation,0,37e884c0-072c-41fc-97fc-0007becec31e,Installation,BE-GM-ASG,SECT,A,Other
0e8ae38b-e504-4bb0-9d8c-1e14d3ab8326,d7e37ad2-7afe-4366-8cf5-609c8dc78e0f,55b6690d-1b7f-42d6-8201-9fccb351667a,,1,,,SY-ABT,GROUP,A,Other
ea0e55e5-a1c0-483a-8a4e-d75efc0036d4,d7e37ad2-7afe-4366-8cf5-609c8dc78e0f,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Replacement MKI magnet,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Installation,TE-VSC-BVO,SECT,A,Other
6f00dbf0-340c-4a4a-807b-a16469cceb39,d7e37ad2-7afe-4366-8cf5-609c8dc78e0f,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Installation and bakeout,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Preparation,TE-VSC-BVO,SECT,A,Other
ccfb8ead-61ec-413e-84ea-d13dce303bc5,d7e37ad2-7afe-4366-8cf5-609c8dc78e0f,6c347690-982c-4153-80ac-5fdf9f39b2e2,Availability water cooling in RA23 / RA87,0,,Commissioning,EN-CV,GROUP,A,Other
7765705d-8612-444a-b307-731af17a65b1,d7e37ad2-7afe-4366-8cf5-609c8dc78e0f,68e4b8f0-0990-4afe-9535-3b0e31a4e740,Vacuum system re-commissioning including bake-out of interconnects,0,ca7bdb10-0b02-4d46-8cd3-099be9e45785,Commissioning,TE-VSC-BVO,SECT,A,Other
7d02090b-8fba-401e-9518-cc8c31cdbbd7,d7e37ad2-7afe-4366-8cf5-609c8dc78e0f,8365620a-eb50-4bb0-85bf-90c5d6f034a2,Survey after magnet installation,0,37e884c0-072c-41fc-97fc-0007becec31e,Installation,BE-GM-ASG,SECT,A,Other
