"ID","GROUP_CONTRIBUTION_UUID","PLAN_UUID","VERSION_UUID","ACTIVITY_UUID","FIELD_SET_UUID","CONFIG_ID","PRIMARY_FIELD_CODE","FIELD_CODE","FIELD_VALUE"
"2744082d-f0ae-4ae1-b7f1-c74fa42468d1","df9da4f9-1d73-49a1-83ed-496bb3e067ea","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","34383833-3062-3131-2d66-3530392d3464",79948,"","OF_SECTION","No"
"b658aa8c-bbb5-4a0b-a9dd-112f1609747d","df9da4f9-1d73-49a1-83ed-496bb3e067ea","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","34383833-3062-3131-2d66-3530392d3464",79948,"","E_SECTION","Yes"
"6fbb4d2a-5490-42ca-9b56-599e774e5d03","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","MIXED_WATER","false"
"8743852d-234e-448b-84cb-572654f3e47a","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","RAW_WATER","false"
"edaf99c3-f4a1-44e9-9f84-b9317ace946a","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","CO2","false"
"decdffea-39f6-4503-bf7c-28943b44db2c","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","COOLING_SYSTEM","false"
"265b1956-e9eb-4a94-a38e-685cb3f312af","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","PFC","false"
"1c61877c-738d-4154-ba37-8a4c8c66d50b","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","DEMINERALISED_WATER","true"
"e9d16775-3feb-4d94-b7f6-0cb564a5591a","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","SUMP_SYSTEM","false"
"01f3c8d9-3c76-448d-89c4-746a5419c3a2","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","PIPING_DIST","false"
"09a78e55-e889-4235-ad0d-670ad8e331ff","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","36373138-6135-3330-2d34-6561392d3436",79952,"","CHILLED_WATER","false"
"4f37ae87-f19a-4aa1-ab87-591c1e90ab4e","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","32386263-6139-6163-2d34-6661352d3463",79957,"","YEAR_MAINTENANCE","false"
"96f12ed0-2f92-406b-b213-ac2b077e886a","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","32386263-6139-6163-2d34-6661352d3463",79957,"","SPECIFIC_MAINTENANCE","false"
"6bcaa9b7-c244-4a68-9f95-e79afd256ae3","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","66393731-3236-6466-2d65-3730642d3436",79954,"","INERTING","false"
"ed31861f-de87-4e2b-8b74-6b0d845038b2","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","66393731-3236-6466-2d65-3730642d3436",79954,"","SPECIAL_EQUIPMENT","false"
"077eb444-0e9d-4989-aa04-986f10b778d1","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","66393731-3236-6466-2d65-3730642d3436",79954,"","INSTRUMENT_TOOLS","false"
"385ea860-9c2a-4838-bac4-4bf7af7ffc6c","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","TECNICAL_ROOM","false"
"eddbc1bb-581b-4b74-8924-ef948680896b","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","HUMIDITY_CONTROL_VALUE","false"
"66e52fbe-c3ac-42ed-84ac-24cd06893553","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","T_CONTROL_VALUE","false"
"c06cf515-1ca8-4f45-a09b-4bbb7907f628","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","HALL","false"
"889f2db5-c2ca-4e8d-a905-cad591491102","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","CLEAN_ROOM","false"
"1fcff672-037f-403c-b887-6024956ebf6e","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","RACK_COOLING","false"
"077f6335-9906-44ca-999d-e84087db31d3","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","RADIOPROTECTION_ZONE","false"
"6a50e57e-8765-4621-8ab3-f9977a078797","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","OFFICES","false"
"d0abb9f5-9d87-451b-8171-994065b06b6a","ae69e275-b7f7-44a0-835d-7b53253b7fb9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","81578ada-9905-47d7-835b-35baa09f4adc","37666563-3361-3339-2d61-6231342d3434",79953,"","SPECIFIC_EXTRACTION","false"
